name,population_million,electoral_votes,party_2016
Alabama,4.88787,9,R
Alaska,0.737438,3,R
Arizona,7.17165,11,R
Arkansas,3.01383,6,R
California,39.557,55,D
Colorado,5.69556,9,D
Connecticut,3.57267,7,D
DC,0.702455,3,D
Delaware,0.967171,3,D
Florida,21.2993,29,R
Georgia,10.5195,16,R
Hawaii,1.42049,4,D
Idaho,1.75421,4,R
Illinois,12.7411,20,D
Indiana,6.69188,11,R
Iowa,3.15614,6,R
Kansas,2.91151,6,R
Kentucky,4.4684,8,R
Louisiana,4.65998,8,R
Maine,1.3384,4,D
Maryland,6.04272,10,D
Massachusetts,6.90215,11,D
Michigan,9.99892,16,R
Minnesota,5.61118,10,D
Mississippi,2.98653,6,R
Missouri,6.12645,10,R
Montana,1.06231,3,R
Nebraska,1.92927,5,R
Nevada,3.03439,6,D
New Hampshire,1.356458,4,D
New Jersey,9.032873,14,D
New Mexico,2.095428,5,D
New York,19.542209,29,D
North Carolina,10.383620,15,R
North Dakota,0.760077,3,R
Ohio,11.6894,18,R
Oklahoma,3.94308,7,R
Oregon,4.19071,7,D
Pennsylvania,12.8071,20,R
Rhode Island,1.057315,4,D
South Carolina,5.084127,9,R
South Dakota,0.882235,3,R
Tennessee,6.77001,11,R
Texas,28.7018,38,R
Utah,3.16111,6,R
Vermont,0.626299,3,D
Virginia,8.51769,13,D
Washington,7.53559,12,D
West Virginia,1.805832,5,R
Wisconsin,5.81357,10,R
Wyoming,0.577737,3,R
